weekly_div,weekly_loy,weekly_reg,daily_div,daily_loy,daily_reg,age,gender,marital,education,working,OS1Class
0.841987824,0.804347826,0.9074916,0.874692437,0.52173913,0.925664503,43,Male,Married,High School,Private Sector Employee,1
0.973677597,0.5625,0.952046278,0.956060178,0.5,0.645559583,35,Male,Married,High School,Private Sector Employee,1
0.98978884,0.52,0.848129517,0.920248868,0.64,0.808885879,50,Male,Single,Middle School,Private Sector Employee,0
0.773977428,0.962962963,0.943140877,0.915088514,0.666666667,0.759194642,34,Male,Single,College,Public Servant,0
0.924043437,0.666666667,0.933039047,0.92480064,0.611111111,0.89693285,50,Male,Married,Primary School,Private Sector Employee,0
0.967488765,0.7,0.785034951,0.947730922,0.9,0.920212606,71,Male,Married,Primary School,Self-Employed - Retail,0
0.947353968,0.769230769,0.942027107,0.869726109,0.692307692,0.898532638,41,Male,Married,Primary School,Public Servant,0
0.983250797,0.512820513,0.976240837,0.943240179,0.435897436,0.922526777,35,Male,Married,Middle School,Private Sector Employee,0
0.834202289,1,0.410129905,0.973214633,0.545454545,0.678030261,30,Male,Single,High School,Private Sector Employee,1
0.94514268,0.604651163,0.720390178,0.613308033,0.813953488,0.893899286,31,Female,Single,College,Private Sector Employee,0
0.929641357,0.695652174,0.7837094,0.946488889,0.434782609,0.87719889,32,Male,Single,College,Private Sector Employee,0
0.942156764,0.846153846,0.890466282,0.968632254,0.538461538,0.673588945,62,Male,Married,College,Private Sector Employee,1
0.987099114,0.525252525,0.953804216,0.392241332,0.858585859,0.919954297,25,Male,Single,College,Private Sector Employee,1
0.913864688,0.8,0.856720209,0.984858662,0.4,0.752281147,48,Male,Married,High School,Public Servant,0
0.862203909,0.928571429,0.93578028,0.859812753,0.714285714,0.793780549,29,Female,Single,High School,Private Sector Employee,1
0.90996175,0.75,0.954809085,0.96414475,0.4375,0.973872253,42,Male,Single,College,Private Sector Employee,0
0.952414896,0.566666667,0.868855837,0.919284571,0.5,0.961811283,56,Male,Married,High School,Private Sector Employee,1
0.927142936,0.923076923,0.945411949,0.975006431,0.461538462,0.967565694,41,Male,Married,Primary School,Private Sector Employee,1
0.883633371,0.75,0.821532235,0.953352274,0.5,0.644911271,50,Male,Married,High School,Retiree & Non-Employed,1
0.849185322,0.818181818,0.843072862,0.859661049,0.727272727,0.783955407,43,Male,Married,College,Private Sector Employee,1
0.949689142,0.705882353,0.297001189,0.94072732,0.588235294,0.708406666,34,Male,Married,High School,Public Servant,1
0.955232728,0.647058824,0.980551406,0.964526314,0.470588235,0.939753611,30,Male,Married,Middle School,Private Sector Employee,1
0.90826374,0.653846154,0.942360006,0.90316375,0.538461538,0.774298243,23,Male,Single,High School,Private Sector Employee,0
0.962328502,0.5625,0.830952188,0.914109104,0.46875,0.905018688,57,Male,Married,Primary School,Public Servant,0
0.8607728,0.823529412,0.86875449,0.903881788,0.882352941,0.892576676,20,Female,Single,High School,Private Sector Employee,0
0.912206633,0.818181818,0.963204185,0.94876951,0.636363636,0.955576599,31,Female,Married,High School,Private Sector Employee,0
0.844757311,0.789473684,0.95134007,0.86842916,0.631578947,0.93235092,52,Female,Divorced,High School,Self-Employed - Service,1
0.930256618,0.666666667,0.764021668,0.645595009,0.833333333,0.756835252,28,Male,Single,College,Private Sector Employee,0
0.944638276,0.615384615,0.885164931,0.969245176,0.346153846,0.929862533,27,Male,Single,High School,Private Sector Employee,0
0.889306999,0.785714286,0.843192212,0.760820318,0.928571429,0.823493681,45,Male,Married,Middle School,Private Sector Employee,0
0.942631204,0.75,0.962343041,0.709147917,0.916666667,0.875047883,38,Female,Divorced,Master,Non-Employed,0
0.838368515,0.909090909,0.403708867,0.986659959,0.363636364,0.549924098,54,Male,Married,High School,Retiree & Non-Employed,0
0.889721375,0.727272727,0.791983726,0.87874099,0.818181818,0.868427896,38,Male,Married,Primary School,Public Servant,0
0.943476614,0.613636364,0.279089125,0.931115311,0.363636364,0.202524483,61,Male,Married,High School,Retiree & Non-Employed,0
0.987416255,0.513274336,0.959003632,0.927220762,0.318584071,0.96596057,31,Male,Married,Primary School,Private Sector Employee,1
0.970657024,0.568627451,0.694865474,0.929055495,0.411764706,0.882420259,36,Male,Married,College,Private Sector Employee,1
0.986536706,0.513888889,0.778240024,0.93884112,0.333333333,0.900622667,47,Male,Married,College,Private Sector Employee,0
0.930698303,0.634615385,0.937361385,0.939168846,0.365384615,0.97509113,32,Male,Married,High School,Private Sector Employee,1
0.8409272,0.795918367,0.917335682,0.936081846,0.367346939,0.846746478,50,Male,Married,College,Public Servant,1
0.972016748,0.576271186,0.865184342,0.921079525,0.372881356,0.722599713,30,Female,Married,High School,Public Servant,1
0.889946974,0.695652174,0.865615103,0.872712699,0.550724638,0.915053437,24,Male,Single,College,Private Sector Employee,1
0.972903978,0.575,0.955668811,0.940396034,0.375,0.815093178,28,Male,Single,Primary School,Private Sector Employee,1
0.94095839,0.611111111,0.719814108,0.922582665,0.5,0.910575608,27,Male,Single,High School,Private Sector Employee,1
0.953215686,0.777777778,0.307900708,0.941617855,0.5,0.644044613,33,Male,Single,College,Private Sector Employee,1
0.976604091,0.547169811,0.944745241,0.923225895,0.339622642,0.937507267,40,Male,Married,College,Public Servant,1
0.979549297,0.554545455,0.92173675,0.937608039,0.318181818,0.885159924,29,Male,Single,High School,Private Sector Employee,1
0.977806004,0.538793103,0.975331293,0.935035314,0.314655172,0.977057705,29,Male,Single,College,Public Servant,1
0.986502929,0.513761468,0.921445434,0.94822556,0.293577982,0.935333148,58,Male,Divorced,Primary School,Retiree & Private Sector Employee,1
0.960696683,0.588235294,0.892461457,0.948269765,0.338235294,0.813987095,51,Male,Married,College,Self-Employed - Retail,1
0.980144851,0.5,0.816622037,0.9459086,0.375,0.909529911,30,Male,Married,College,Public Servant,0
0.926631023,0.619047619,0.965859279,0.927873226,0.523809524,0.941598494,42,Male,Married,College,Private Sector Employee,1
0.904469972,0.727272727,0.80690505,0.901326736,0.545454545,0.671101852,30,Male,Married,High School,Private Sector Employee,1
0.965990396,0.555555556,0.248112938,0.938820581,0.444444444,0.228629124,28,Male,Single,High School,Public Servant,1
0.986021972,0.518867925,0.963674868,0.743931132,0.613207547,0.905005093,33,Male,Single,High School,Self-Employed - Service,0
0.892242766,0.734375,0.882941286,0.902665068,0.34375,0.796172132,43,Male,Married,College,Private Sector Employee,1
0.973438049,0.552238806,0.962270571,0.928955173,0.350746269,0.948557231,48,Male,Married,College,Retiree & Non-Employed,1
0.927301033,0.649350649,0.992946135,0.889803613,0.428571429,0.956821512,30,Male,Single,College,Private Sector Employee,0
0.96063748,0.575757576,0.9654409,0.948545146,0.252525253,0.900676475,52,Male,Divorced,College,Private Sector Employee,1
0.98686674,0.514285714,0.927761684,0.92711784,0.371428571,0.959593318,26,Male,Single,College,Private Sector Employee,0
0.910922977,0.660377358,0.935435777,0.966398866,0.283018868,0.930755633,58,Male,Married,College,Retiree & Non-Employed,1
0.961745859,0.581395349,0.841758729,0.920011265,0.418604651,0.93094423,25,Male,Married,High School,Private Sector Employee,0
0.96549307,0.590909091,0.884485804,0.935668973,0.363636364,0.726751083,43,Male,Married,High School,Self-Employed - Retail,1
0.983985902,0.511904762,0.822663713,0.925325393,0.327380952,0.876011785,64,Male,Married,College,Private Sector Employee,1
0.943159302,0.655172414,0.97356071,0.939924975,0.275862069,0.868118379,24,Male,Single,College,Public Servant,0
0.883008478,0.701754386,0.969114958,0.953154661,0.315789474,0.951269395,36,Male,Married,College,Private Sector Employee,1
0.989464171,0.555555556,0.786504032,0.956304734,0.444444444,0.606738325,26,Female,Single,College,Public Servant,0
0.902508147,0.64,0.845889871,0.943793746,0.44,0.805577729,45,Male,Married,Primary School,Private Sector Employee,1
0.967353076,0.551724138,0.954046262,0.943203428,0.327586207,0.953871705,42,Male,Married,High School,Public Servant,1
0.953688329,0.567164179,0.913759123,0.953814336,0.328358209,0.973834081,27,Male,Single,College,Public Servant,1
0.978928343,0.611111111,0.802166856,0.934517175,0.5,0.948061274,32,Female,Single,College,Public Servant,0
0.913038499,0.653846154,0.845312394,0.956901788,0.384615385,0.664919513,33,Male,Married,College,Private Sector Employee,0
0.97474792,0.569767442,0.979805877,0.92341959,0.38372093,0.889358797,33,Male,Single,College,Private Sector Employee,1
0.972737429,0.582278481,0.983156917,0.911979241,0.392405063,0.976592022,32,Male,Married,College,Public Servant,1
0.955022675,0.615384615,0.927282781,0.882489906,0.432692308,0.968959278,44,Male,Married,Master,Self-Employed - Service,1
0.982687148,0.524475524,0.94965773,0.889569595,0.447552448,0.962903048,35,Female,Single,College,Private Sector Employee,1
0.956583313,0.555555556,0.803573078,0.931460039,0.407407407,0.91854107,33,Male,Married,College,Private Sector Employee,1
0.895857653,0.69047619,0.855371171,0.949591517,0.357142857,0.780920991,26,Male,Single,College,Private Sector Employee,1
0.886299759,0.833333333,0.978778142,0.963687037,0.5,0.903001098,33,Male,Married,High School,Private Sector Employee,1
0.969798385,0.551181102,0.991152857,0.923255147,0.385826772,0.984120052,28,Male,Single,College,Public Servant,1
0.956197454,0.609756098,0.933651649,0.963807772,0.292682927,0.937563798,35,Male,Married,Middle School,Self-Employed - Retail,1
